,age,total,crime,nocrime,percentage_crime,percentage_nocrime
0,18-24,5282,1677,3605,0.317493373722075,0.682506626277925
1,25-34,3632,1262,2370,0.3474669603524229,0.6525330396475771
2,over 34,3146,883,2263,0.2806738715829625,0.7193261284170375
3,10-17,2422,461,2023,0.19033856317093312,0.8352601156069365
4,Not stated,2201,178,1961,0.08087233075874603,0.8909586551567469
5,under 10,2,1,1,0.5,0.5
